objectid,filename,title,format,Number,Picture,Common Name,Scientific Name,Variation,Location,Light Needs,Soil Type,Watering Needs,Description
coll001,1_Rubber Tree.jpeg,Rubber Tree,image/jpeg,1,,Rubber Tree,Ficus elastica,Burgundy,"family room, left of bay window","bright, indirect","potting soil, perlite, orchid bark","consistent, keep moist (once a week)","Large, dark green, thick leaves. New leaves encased in red growth. In nursery pot in white plastic pot."
coll002,2_Snake.jpeg,Snake Plant,image/jpeg,2,,Snake,Dracaena trifasciata,Hahnii,"dining room, left of green chair","bright, indirect","potting soil, perlite, sand","minimal, dry out (once every 2 weeks)","Long, thick, football shaped green leaves with varigation. In red ceramic pot."
coll003,3_Pothos.jpeg,Pothos,image/jpeg,3,,Pothos,Epipremnum aureum,Marble,"dining room, left bookshelf","low, indirect","potting soil, perlite","consistent, keep moist (once a week)","Medium, heart shaped, green leaves with varigation. Long vines. In gray plastic pot."
coll004,4_Monstera.jpeg,Monstera,image/jpeg,4,,Monstera,Monstera deliciosa,,"dining room, left of green chair","bright, indirect","potting soil, perlite","consistent, dry out (once every week and a half)","Large, heart shaped, green leaves with fenestration (splits). Aerial roots on stems. Green metal and brown coconut supports. In brown terracotta pot."
coll005,5_False Shamrock.jpeg,False Shamrock,image/jpeg,5,,False Shamrock,Oxalis triangularis,Purple,"dining room, window sill","bright, direct","potting soil, perlite","consistent, keep moist (once a week)","Triangular, purple leaves in triples. Frequently small white flowers. In white rectangular ceramic pot with rabbit motif."
coll006,6_String of Turtles.jpeg,String of Turtles,image/jpeg,6,,String of Turtles,Peperomia prostrata,,"family room, bamboo middle tier","bright, indirect","potting soil, perlite, orchid bark","consistent, dry out (once every week and a half)","Many circular, small, green leaves with turtle shell varigation. Long vines. In nursery pot on top of green glass plate."
coll007,7_String of Hearts.jpeg,String of Hearts,image/jpeg,7,,String of Hearts,Ceropegia woodii,,"spare room, window sill","bright, indirect","potting soil, perlite, orchid bark","consistent, dry out (once every week and a half)",Small heart shaped leaves with varigation. Long vines. In nursery pot in head statue pot.
coll008,8_ZZ.jpeg,ZZ Plant,image/jpeg,8,,ZZ, zamioculcas zamiifolia,,"dining room, left of green chair","low, indirect",potting soil,"minimal, dry out (once every 2 weeks)","Green, thick, football shaped leaves. In green nursery pot in brown wood pot on long legs."
coll009,9_Wax.jpeg,Wax Plant,image/jpeg,9,,Wax,Hoya pubicalyx,,"dining room, window sill","bright, indirect","potting soil, perlite, orchid bark","minimal, dry out (once every 2 weeks)","Football shaped, thick, green leaves with minimal damage. In nursery pot in blue and white ceramic pot."
coll010,10_Aloe.jpeg,Aloe,image/jpeg,10,,Aloe,Aloe vera ,,"dining room, left of green chair","bright, indirect","potting soil, perlite, orchid bark","consistent, dry out (once every week and a half)","Long, thick, tube shaped leaves with sharp points. In white ceramic pot."
